,Racquet,Head Size (in),Length,Strung Weight (oz),Strung Weight (g),Balance,Balance Number,HH or HL,Swingweight,Stiffness,Power Level,Stroke Style,Swing Speed,Mains,Crosses,Minimum String Tension,Maximum String Tension
158,Prince Phantom 107G,107,27,11.4,323,-7,7,HL,319,63,Low-Medium,Medium-Full,Medium-Fast,16,19,45,55
159,Prince Phantom 100G,100,27,11.5,326,-7,7,HL,318,59,Low,Full,Fast,16,18,45,55
160,Prince Phantom 100G LB,100,28,11.6,329,-9,9,HL,335,59,Low,Full,Fast,16,18,45,55
161,Prince Phantom 93P (18x20),93,27,12.2,346,-9,9,HL,329,60,Low,Full,Fast,18,20,45,55
162,Prince Phantom 93P (14x18),93,27,12.1,343,-7,7,HL,329,62,Low,Full,Fast,14,18,45,55
163,Prince Phantom 97P,97,27,11.8,335,-8,8,HL,320,58,Low,Full,Fast,16,18,48,58
164,Prince Phantom 100P,100,27,11.5,326,-6,6,HL,328,59,Low-Medium,Medium-Full,Medium-Fast,16,18,45,55
165,Prince Phantom 100X 305,100,27,11.4,323,-6,6,HL,321,58,Low-Medium,Medium-Full,Medium-Fast,16,18,45,55
166,Prince Phantom 100X 290,100,27,10.8,306,-4,4,HL,319,58,Low-Medium,Medium-Full,Medium-Fast,16,18,45,55
167,Prince Phantom 100X 18x20,100,27,11.8,335,-9,9,HL,324,59,Low,Full,Fast,18,20,45,55
168,Prince Phantom O3 100X,100,27,11.5,326,-7,7,HL,325,60,Low-Medium,Medium-Full,Medium-Fast,16,18,45,55
169,Prince Synergy 98,98,27,11.4,323,-4,4,HL,334,60,Low,Full,Fast,18,18,50,60
170,Prince CTS Synergy DB26,97,27,12.2,346,-7,7,HL,326,65,Low-Medium,Medium-Full,Medium-Fast,16,18,50,60
171,Prince Classic Graphite 107,107,27,12.2,345.86,-6,6,HL,336,65,Low-Medium,Medium-Full,Medium-Fast,16,19,57,67
172,Prince Textreme Tour 95,95,27,11.9,337,-8,8,HL,325,64,Low,Full,Fast,16,19,45,55
173,Prince Textreme Tour 100P,100,27,11.5,326,-7,7,HL,324,66,Low,Full,Fast,18,20,45,55
174,Prince Textreme Tour 100 (310),100,27,11.5,326,-7,7,HL,322,65,Low-Medium,Medium-Full,Medium-Fast,16,18,48,58
175,Prince Textreme Tour 100 (290),100,27,10.8,306,-3,3,HL,324,65,Low-Medium,Medium-Full,Medium-Fast,16,18,48,58
176,Prince Textreme Tour 100L (260),100,27,9.8,278,-1,1,HL,314,65,Low-Medium,Medium-Full,Medium-Fast,16,18,48,58
177,Prince Legacy 120,120,27.25,9.4,266,8,8,HH,317,73,High,Compact,Slow,16,19,50,60
