,Racquet,Head Size (in),Length,Strung Weight (oz),Strung Weight (g),Balance,Balance Number,HH or HL,Swingweight,Stiffness,Power Level,Stroke Style,Swing Speed,Mains,Crosses,Minimum String Tension,Maximum String Tension
77,Head Graphene 360+ Speed MP Black Racquet,100,27,11.2,318,-4,4,HL,328,64,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
78,Head Graphene 360+ Speed Pro,100,27,11.6,329,-6,6,HL,329,62,Low,Full,Fast,18,20,48,57
79,Head Graphene 360+ Speed MP Racquets,100,27,11.2,318,-4,4,HL,328,64,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
80,Head Graphene 360+ Speed MP Lite,100,27,10.3,292,-1,1,HL,313,64,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
81,Head Graphene 360+ Speed S,100,27,10.6,301,-4,4,HL,307,69,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
82,Head Graphene 360+ Speed Lite,100,27,9.8,278,2,2,HH,304,68,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
83,Head Graphene 360+ Speed PWR,115,27.4,9.7,275,2,2,HH,319,69,High,Compact,Slow,16,19,52,62
84,Head Graphene XT Speed MP,100,27,11.1,315,-4,4,HL,320,67,Low-Medium,Full,Fast,16,19,48,57
85,Head Graphene XT Speed S,100,27,10.7,303.34,-1,1,HL,317,68,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
86,Head Radical Pro 2021,98,27,11.7,332,-6,6,HL,330,65,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
87,Head Radical MP 2021,98,27,11.2,318,-4,4,HL,326,65,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
88,Head Radical S 2021,102,27,10.4,295,-4,4,HL,309,63,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
89,Head Graphene XT Radical MP,98,27,11,312,-6,6,HL,322,63,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
90,Head Graphene XT Radical S,102,27,10.4,294.84,-4,4,HL,301,60,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
91,Head MicroGEL Radical Midplus,98,27,11,312,-2,2,HL,315,62,Low,Full,Fast,18,20,52,62
92,Head MicroGEL Radical Oversize,107,27,11.1,315,-3,3,HL,318,56,Low,Full,Fast,18,19,52,62
93,Head Graphene 360+ Prestige Mid,93,27,11.8,335,-7,7,HL,328,65,Low,Full,Fast,16,19,48,57
94,Head Graphene 360+ Prestige Midplus,98,27,11.9,337,-7,7,HL,323,61,Low,Full,Fast,18,20,48,57
95,Head Graphene 360+ Prestige Pro,95,27,11.8,335,-6,6,HL,327,65,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
96,Head Graphene 360+ Prestige Tour,99,27,11.4,323,-4,4,HL,326,65,Low,Full,Fast,18,19,48,57
97,Head Graphene 360+ Extreme Nite Tour,98,27,11.4,323,-6,6,HL,318,65,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
98,Head Graphene 360+ Extreme Nite MP,100,27,11.2,318,-3,3,HL,325,66,Low-Medium,Medium-Full,Medium-Fast,16,19,52,62
99,Head Graphene 360+ Extreme MP,100,27,11.2,318,-3,3,HL,325,66,Low-Medium,Medium-Full,Medium-Fast,16,19,52,62
100,Head Graphene 360+ Extreme Tour,98,27,11.4,323,-6,6,HL,318,65,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
101,Head Graphene 360+ Extreme Lite,105,27,9.8,278,3,3,HH,310,67,Low-Medium,Medium-Full,Medium-Fast,16,19,52,62
102,Head Graphene 360+ Extreme PWR,115,27.7,8.6,244,8,8,HH,307,66,High,Compact,Slow,16,19,52,62
103,Head Graphene 360+ Extreme S,105,27,10.2,289,1,1,HH,312,66,Low-Medium,Medium-Full,Medium-Fast,16,19,52,62
104,Head Graphene 360 Extreme Pro,100,27,11.6,329,-6,6,HL,331,64,Low-Medium,Medium-Full,Medium-Fast,16,19,52,62
105,Head Graphene 360+ Instinct MP,100,27,11.2,318,-4,4,HL,314,64,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
106,Head Graphene 360+ Instinct Lite,107,27.2,10,283,1,1,HH,308,63,Medium,Medium,Medium,16,19,48,57
107,Head Graphene 360+ Instinct PWR,115,27.7,8.6,244,9,9,HH,312,70,Medium-High,Compact-Medium,Slow-Moderate,16,19,52,62
108,Head Graphene XT Instinct MP,100,27,11.1,314.68,-5,5,HL,319,66,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
109,Head Graphene XT Instinct S,102,27,10,283.5,2,2,HH,302,71,Low-Medium,Medium-Full,Medium-Fast,16,19,48,57
110,Head Graphene XT Instinct PWR,115,27.7,8.6,243.81,11,11,HH,316,70,Medium-High,Compact-Medium,Slow-Moderate,16,19,52,62
